Year,Month,sm_5cm,sm_20cm,sm_60cm
2002,1,0.205,0.208,0.136
2002,1,0.210,0.210,0.136
2002,1,0.202,0.208,0.136
2002,1,0.224,0.210,0.137
2002,1,0.227,0.211,0.137
2002,1,0.224,0.214,0.137
2002,1,0.220,0.213,0.137
2002,1,0.222,0.214,0.138
2002,1,0.220,0.215,0.138
2002,1,0.216,0.215,0.138
2002,1,0.214,0.215,0.139
2002,1,0.209,0.212,0.139
2002,1,0.211,0.215,0.140
2002,1,0.207,0.214,0.140
2002,1,0.204,0.211,0.140
2002,1,0.204,0.212,0.141
2002,1,0.203,0.213,0.141
2002,1,0.197,0.209,0.141
2002,1,0.196,0.208,0.142
2002,1,0.194,0.207,0.142
2002,1,0.191,0.205,0.141
2002,1,0.191,0.206,0.142
2002,1,0.188,0.206,0.142
2002,1,0.186,0.206,0.144
2002,1,0.180,0.202,0.143
2002,1,0.181,0.200,0.143
2002,1,0.181,0.202,0.144
2002,1,0.179,0.200,0.144
2002,1,0.180,0.202,0.145
2002,1,0.241,0.199,0.145
2002,1,0.285,0.196,0.146
2002,2,0.255,0.200,0.145
2002,2,0.248,0.203,0.145
2002,2,0.248,0.206,0.145
2002,2,0.241,0.207,0.146
2002,2,0.324,0.218,0.146
2002,2,0.316,0.256,0.146
2002,2,0.287,0.251,0.146
2002,2,0.277,0.250,0.146
2002,2,0.266,0.246,0.146
2002,2,0.255,0.242,0.146
2002,2,0.246,0.239,0.146
2002,2,0.246,0.238,0.147
2002,2,0.243,0.237,0.147
2002,2,0.238,0.233,0.146
2002,2,0.239,0.235,0.148
2002,2,0.233,0.231,0.148
2002,2,0.230,0.230,0.148
2002,2,0.229,0.229,0.149
2002,2,0.224,0.227,0.149
2002,2,0.219,0.224,0.150
2002,2,0.216,0.223,0.151
2002,2,0.210,0.217,0.151
2002,2,0.210,0.217,0.151
2002,2,0.204,0.213,0.152
2002,2,0.197,0.209,0.153
2002,2,0.189,0.205,0.153
2002,2,0.192,0.206,0.154
2002,2,0.190,0.204,0.153
2002,3,0.189,0.202,0.154
2002,3,0.185,0.202,0.155
2002,3,0.176,0.197,0.153
2002,3,0.177,0.195,0.152
2002,3,0.181,0.197,0.153
2002,3,0.179,0.195,0.154
2002,3,0.174,0.190,0.153
2002,3,0.174,0.189,0.156
2002,3,0.169,0.184,0.155
2002,3,0.165,0.180,0.155
2002,3,0.164,0.178,0.156
2002,3,0.162,0.174,0.155
2002,3,0.165,0.175,0.157
2002,3,0.160,0.170,0.157
2002,3,0.156,0.168,0.157
2002,3,0.153,0.165,0.156
2002,3,0.153,0.165,0.156
2002,3,0.156,0.163,0.156
2002,3,0.340,0.161,0.156
2002,3,0.330,0.174,0.155
2002,3,0.281,0.193,0.155
2002,3,0.259,0.194,0.154
2002,3,0.257,0.195,0.153
2002,3,0.249,0.195,0.153
2002,3,0.232,0.192,0.153
2002,3,0.226,0.188,0.153
2002,3,0.219,0.185,0.152
2002,3,0.210,0.182,0.152
2002,3,0.197,0.177,0.152
2002,3,0.366,0.297,0.152
2002,3,0.362,0.332,0.152
2002,4,0.326,0.306,0.152
2002,4,0.298,0.290,0.152
2002,4,0.280,0.276,0.152
2002,4,0.271,0.267,0.153
2002,4,0.263,0.261,0.154
2002,4,0.262,0.257,0.155
2002,4,0.277,0.256,0.156
2002,4,0.266,0.250,0.157
2002,4,0.256,0.246,0.158
2002,4,0.246,0.240,0.159
2002,4,0.230,0.229,0.159
2002,4,0.214,0.218,0.159
2002,4,0.205,0.210,0.159
2002,4,0.199,0.202,0.159
2002,4,0.187,0.187,0.157
2002,4,0.175,0.171,0.156
2002,4,0.166,0.162,0.154
2002,4,0.161,0.155,0.152
2002,4,0.158,0.152,0.150
2002,4,0.155,0.150,0.149
2002,4,0.150,0.147,0.147
2002,4,0.147,0.144,0.145
2002,4,0.145,0.143,0.144
2002,4,0.142,0.141,0.142
2002,4,0.186,0.138,0.141
2002,4,0.314,0.136,0.141
2002,4,0.283,0.138,0.141
2002,4,0.237,0.140,0.141
2002,4,0.205,0.141,0.142
2002,4,0.179,0.141,0.142
2002,5,0.160,0.140,0.141
2002,5,0.149,0.138,0.141
