Year,Month,sm_5cm,sm_20cm,sm_60cm,sm_75cm
2018,7,0.100,0.151,0.155,0.145
2018,7,0.100,0.151,0.155,0.145
2018,7,0.100,0.151,0.155,0.145
2018,7,0.100,0.151,0.155,0.145
2018,7,0.100,0.151,0.155,0.145
2018,7,0.100,0.151,0.155,0.145
2018,7,0.100,0.151,0.155,0.145
2018,7,0.100,0.151,0.155,0.145
2018,7,0.100,0.151,0.155,0.145
2018,8,0.100,0.151,0.155,0.145
2018,8,0.100,0.151,0.155,0.145
2018,8,0.099,0.151,0.155,0.145
2018,8,0.099,0.151,0.154,0.145
2018,8,0.099,0.151,0.153,0.145
2018,8,0.098,0.150,0.152,0.145
2018,8,0.098,0.149,0.151,0.145
2018,8,0.098,0.149,0.151,0.145
2018,8,0.395,0.148,0.199,0.145
2018,8,0.334,0.148,0.205,0.145
2018,8,0.313,0.149,0.202,0.144
2018,8,0.295,0.150,0.201,0.143
2018,8,0.289,0.151,0.199,0.143
2018,8,0.281,0.154,0.203,0.142
2018,8,0.272,0.157,0.205,0.143
2018,8,0.264,0.160,0.206,0.143
2018,8,0.253,0.162,0.205,0.143
2018,8,0.363,0.163,0.201,0.143
2018,8,0.352,0.162,0.225,0.143
2018,8,0.315,0.175,0.226,0.143
2018,8,0.293,0.183,0.227,0.143
2018,8,0.279,0.189,0.229,0.143
2018,8,0.261,0.193,0.227,0.143
2018,8,0.242,0.194,0.224,0.143
2018,8,0.225,0.194,0.220,0.144
2018,8,0.210,0.195,0.216,0.144
2018,8,0.197,0.195,0.213,0.144
2018,8,0.187,0.194,0.208,0.144
2018,8,0.177,0.196,0.206,0.144
2018,8,0.168,0.196,0.203,0.145
2018,8,0.160,0.196,0.200,0.145
2018,9,0.152,0.195,0.196,0.145
2018,9,0.144,0.190,0.190,0.145
2018,9,0.143,0.188,0.188,0.145
2018,9,0.337,0.185,0.208,0.145
2018,9,0.283,0.184,0.213,0.145
2018,9,0.276,0.183,0.214,0.144
2018,9,0.255,0.185,0.217,0.144
2018,9,0.341,0.218,0.246,0.144
2018,9,0.301,0.239,0.266,0.143
2018,9,0.280,0.244,0.266,0.143
2018,9,0.257,0.246,0.264,0.143
2018,9,0.234,0.244,0.257,0.143
2018,9,0.212,0.242,0.250,0.143
2018,9,0.196,0.240,0.244,0.143
2018,9,0.184,0.237,0.237,0.144
2018,9,0.176,0.234,0.231,0.144
2018,9,0.168,0.229,0.224,0.144
2018,9,0.162,0.225,0.219,0.144
2018,9,0.158,0.221,0.214,0.144
2018,9,0.153,0.216,0.209,0.144
2018,9,0.207,0.210,0.217,0.144
2018,9,0.222,0.201,0.211,0.144
2018,9,0.193,0.199,0.207,0.143
2018,9,0.176,0.199,0.206,0.143
2018,9,0.164,0.199,0.204,0.143
2018,9,0.320,0.199,0.214,0.143
2018,9,0.309,0.250,0.281,0.143
2018,9,0.285,0.250,0.286,0.142
2018,9,0.265,0.249,0.281,0.142
2018,9,0.247,0.246,0.274,0.142
2018,10,0.228,0.244,0.267,0.142
2018,10,0.210,0.240,0.259,0.142
2018,10,0.196,0.237,0.252,0.142
2018,10,0.184,0.233,0.244,0.143
2018,10,0.176,0.226,0.235,0.143
2018,10,0.316,0.218,0.237,0.143
2018,10,0.282,0.212,0.233,0.143
2018,10,0.268,0.212,0.233,0.143
2018,10,0.420,0.409,0.423,0.142
2018,10,0.318,0.351,0.348,0.143
2018,10,0.301,0.333,0.333,0.153
2018,10,0.295,0.322,0.325,0.164
2018,10,0.364,0.328,0.343,0.175
2018,10,0.319,0.348,0.354,0.187
2018,10,0.290,0.324,0.327,0.207
2018,10,0.327,0.326,0.346,0.232
2018,10,0.315,0.334,0.345,0.250
2018,10,0.299,0.331,0.335,0.260
2018,10,0.361,0.377,0.382,0.275
2018,10,0.322,0.360,0.358,0.316
2018,10,0.302,0.344,0.341,0.317
2018,10,0.294,0.332,0.330,0.313
2018,10,0.290,0.329,0.324,0.309
2018,10,0.286,0.327,0.320,0.305
2018,10,0.323,0.356,0.357,0.305
2018,10,0.304,0.347,0.343,0.308
2018,10,0.294,0.337,0.333,0.308
2018,10,0.286,0.330,0.325,0.305
2018,10,0.280,0.325,0.319,0.302
2018,10,0.276,0.321,0.317,0.298
2018,10,0.271,0.316,0.308,0.295
2018,11,0.310,0.330,0.336,0.291
2018,11,0.296,0.323,0.328,0.289
2018,11,0.287,0.318,0.320,0.287
2018,11,0.278,0.311,0.313,0.285
2018,11,0.275,0.307,0.309,0.283
2018,11,0.269,0.305,0.305,0.280
2018,11,0.264,0.303,0.303,0.278
2018,11,0.260,0.299,0.295,0.276
2018,11,0.258,0.292,0.292,0.274
2018,11,0.253,0.287,0.288,0.271
2018,11,0.251,0.283,0.285,0.268
2018,11,0.249,0.282,0.284,0.265
2018,11,0.243,0.274,0.276,0.262
2018,11,0.243,0.271,0.275,0.258
2018,11,0.244,0.272,0.277,0.256
2018,11,0.244,0.274,0.277,0.254
2018,11,0.244,0.274,0.277,0.253
2018,11,0.242,0.271,0.275,0.252
2018,11,0.239,0.267,0.271,0.250
2018,11,0.237,0.266,0.271,0.248
2018,11,0.238,0.266,0.271,0.247
2018,11,0.237,0.266,0.271,0.246
2018,11,0.239,0.268,0.272,0.245
2018,11,0.237,0.268,0.272,0.245
2018,11,0.236,0.269,0.273,0.244
2018,11,0.230,0.263,0.267,0.244
2018,11,0.229,0.260,0.264,0.242
2018,11,0.229,0.260,0.264,0.241
2018,11,0.230,0.263,0.268,0.240
2018,11,0.230,0.264,0.268,0.240
2018,12,0.228,0.263,0.266,0.239
2018,12,0.224,0.260,0.263,0.239
2018,12,0.224,0.257,0.262,0.238
2018,12,0.221,0.255,0.259,0.237
2018,12,0.220,0.252,0.257,0.236
2018,12,0.221,0.253,0.257,0.235
2018,12,0.219,0.251,0.254,0.234
2018,12,0.218,0.249,0.251,0.233
2018,12,0.267,0.253,0.268,0.232
2018,12,0.292,0.281,0.297,0.231
2018,12,0.304,0.299,0.329,0.230
2018,12,0.314,0.345,0.337,0.229
2018,12,0.303,0.334,0.330,0.229
2018,12,0.287,0.322,0.315,0.229
2018,12,0.278,0.312,0.306,0.230
2018,12,0.277,0.308,0.303,0.231
2018,12,0.274,0.304,0.299,0.234
2018,12,0.273,0.303,0.299,0.236
2018,12,0.272,0.302,0.296,0.239
2018,12,0.271,0.299,0.298,0.241
2018,12,0.266,0.294,0.292,0.243
2018,12,0.267,0.295,0.295,0.243
2018,12,0.264,0.293,0.292,0.245
2018,12,0.261,0.289,0.288,0.245
2018,12,0.259,0.287,0.286,0.245
2018,12,0.264,0.289,0.289,0.246
2018,12,0.302,0.317,0.314,0.247
2018,12,0.283,0.306,0.303,0.247
2018,12,0.274,0.298,0.295,0.246
2018,12,0.270,0.294,0.291,0.245
2018,12,0.268,0.291,0.290,0.245
2019,1,0.267,0.290,0.290,0.245
2019,1,0.263,0.285,0.285,0.244
2019,1,0.261,0.283,0.283,0.244
2019,1,0.259,0.281,0.278,0.243
2019,1,0.260,0.281,0.279,0.243
2019,1,0.261,0.283,0.280,0.244
2019,1,0.264,0.287,0.284,0.244
2019,1,0.260,0.284,0.281,0.245
2019,1,0.257,0.280,0.277,0.246
2019,1,0.257,0.279,0.277,0.246
2019,1,0.258,0.281,0.279,0.246
2019,1,0.254,0.278,0.275,0.246
2019,1,0.249,0.275,0.271,0.246
2019,1,0.249,0.272,0.270,0.245
2019,1,0.250,0.272,0.270,0.245
2019,1,0.249,0.272,0.270,0.244
2019,1,0.249,0.273,0.271,0.244
2019,1,0.247,0.273,0.270,0.244
2019,1,0.245,0.271,0.268,0.244
2019,1,0.242,0.268,0.265,0.244
2019,1,0.242,0.267,0.265,0.243
2019,1,0.243,0.270,0.268,0.242
